M=20,,M=40,,M=60,,M=80,,M=90,,friction,,adiabatic,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
42.25880044962866,0.5884417872953709,15.238895480562398,0.6207553509458185,5.745415356295879,0.6229765610610528,4.88237170863529,0.6316205474131091,2.057865225382436,0.6188820412100787,1.214436206077771,0.6143771773217521,1.214436206077771,0.6281442197749292
45.322131199017356,0.5961748510561473,19.554113718865374,0.6145734288178772,8.981829035023104,0.6198722192132554,9.677058640083025,0.6305025085866994,1.5920178019292734,0.6030927162945577,1.214436206077771,0.6061100830474815,0.13563164650202708,0.623993500631883
44.798140412937705,0.5874907223526107,25.307738036602665,0.6034361564127767,10.70791633034429,0.6125127881085635,12.937445753467486,0.6223907800801944,2.20693640088745,0.5933782672363643,1.4301971179929183,0.5864236048424304,0.7829143822474691,0.5963220396782412
48.897597739325526,0.6030391931592509,30.342159314622783,0.6001757054203344,12.994981996644867,0.6058009869410844,15.16697517659069,0.6170511039564569,2.2932407656535077,0.5830750636897956,0.9027815555336645,0.5794117024287933,9.413350858853399,0.6318239353272752
53.64433780145878,0.6028518621856769,34.010094817180295,0.5952917193235843,17.204717122455968,0.605120648421184,19.985635542695668,0.612860688488058,4.88237170863529,0.6271246040473337,6.1499670661367745,0.6265647018740848,17.396504599713886,0.6292922910272611
58.77183241403055,0.6025732270401088,45.229662236768014,0.5749796894746344,26.95163069881331,0.5933782672363643,23.43781013333804,0.605977613287597,9.593151618782699,0.6243696493327895,10.314469961557847,0.626596911410382,22.14324466184714,0.6294796220008352
63.13781792572531,0.6084182682575894,52.3497723299679,0.5681421089391842,31.205202962283373,0.588132999976293,26.88998472398041,0.5982305854780579,11.51211609293712,0.6166875926624978,14.160090920986661,0.6122920051754227,24.732375604828924,0.6289979137830735
67.74071737991514,0.6118749707461568,55.370425096779975,0.5667861895114106,34.010094817180295,0.5858716475095784,30.12639840270763,0.594055334897996,13.771721279539392,0.6102166456038995,13.081286361410918,0.627526027562135,30.98944205036822,0.6307641772481996
72.63129804999184,0.6153495142798265,60.063224930934446,0.5570226775791859,38.54107396739841,0.57857912032402,33.92710985105909,0.5905477168114828,14.721069291966053,0.603445968987583,14.908908203515715,0.6039931643356024,38.109552143568116,0.6277668816710159
77.3780381121251,0.615188944873906,64.00086157338589,0.5551681009408036,42.42477038187108,0.576724925993747,37.24650849590753,0.5842315457205328,18.69107007120477,0.609783108207914,20.244548636993834,0.6010909510340815,42.85629220570137,0.6281683051858173
81.72202447201673,0.6097456420131993,68.22977544692282,0.5540494674128904,45.93859094734635,0.5688608481847333,42.1658572875729,0.5823685583037451,19.86794777256012,0.6040739737751833,23.305034187544088,0.5928461237564866,46.092705884428604,0.6282619706726043
84.21046698943812,0.6071158719651226,72.19977622616153,0.5518175526705947,51.055206858477014,0.566429368609365,47.00968976006798,0.5805360599586769,22.359005573762296,0.6042702252713085,23.43781013333804,0.6010909510340815,52.78129415379819,0.6295866682714488
88.70548598767036,0.60797447226067,76.40711400850694,0.5453457135597413,55.15466418486482,0.5631678025516037,51.306927922378016,0.5771384559320106,26.530383204121826,0.5906552777276283,29.047593843131885,0.5816031774688571,59.685643335082936,0.6259738566382365
93.34434559384604,0.609783108207914,79.06816525546043,0.5387222255655185,57.096512392101154,0.5565516739884856,56.1759325012632,0.5751072529471157,28.184550195471296,0.5856709357521778,29.694876578877334,0.5917591923933321,64.4323833972162,0.6260541413411967
98.09108565597933,0.6082844604193223,81.66628623643865,0.5346316084431606,62.27477427806472,0.543467943562726,58.247237255648606,0.5656675559834975,32.49976843377426,0.5846715540352578,33.794333905265155,0.5816031774688571,67.66879707594342,0.6253917925417745
101.8963235570283,0.6023969155355686,84.71390911724012,0.5342738583200158,67.02151434019797,0.540390363282582,60.73362490724222,0.5597351536149152,34.22585572909545,0.5762241023705186,36.38346484824692,0.5627420068948322,73.06281987382212,0.6289979137830735
103.99961524380953,0.5947142870369084,87.54277440679428,0.5289587136332938,70.47368893084035,0.5405669896290947,65.00774582898995,0.5592305069105936,35.89029704958373,0.5716994858965431,38.109552143568116,0.5589361296664058,81.55840578048108,0.6249134295199694
104.90913047249802,0.5923773846061262,89.83052502837077,0.5268910639419756,76.51499446446451,0.539717501010153,67.064666522581,0.5525481434675332,40.33908156669131,0.5725756086471017,45.01390132485286,0.5506935668291508,84.17450683745227,0.6220064542336161
110.06581626727004,0.5930838899921766,91.9501981630097,0.5361558598469593,80.39869087893717,0.5226296028832587,68.10031889977373,0.5481913602535555,43.52754837610406,0.5646437773453781,45.01390132485286,0.5445116447012095,89.89217100320369,0.6268111113976793
114.11903911253319,0.5986770576317425,96.79652018448843,0.5363226049992613,80.39869087893717,0.5183120699685061,74.85055314397621,0.5309422555405585,48.46607591549523,0.5635926424381019,56.171822769607665,0.5380353453290806,98.52260747980961,0.627526027562135
119.23565502366384,0.600282751690948,100.78809705491867,0.5328837435557963,85.66325712966676,0.5037992718300535,75.9108639111021,0.5233753585685342,52.94726408604061,0.5598192613989689,59.25412151125264,0.517803600183091,102.83782571811258,0.6268718559083847
123.9823950857971,0.5976868796285658,103.0227636426113,0.5272064681321766,90.323692827034,0.5030579764060537,78.09724115184227,0.5159570520150046,55.76875293416179,0.5528447851520608,59.0383605993375,0.5359011103087199,105.64271757300949,0.6172228240155664
126.23958616429405,0.5908873828624686,107.4849838209004,0.5230673946823071,95.07043288916725,0.5069049517562335,83.41934364574925,0.5191684401334157,58.77183241403055,0.548684875045282,64.29960745142228,0.5167269617305724,112.30048285496267,0.621764644354462
