mu=0.0eV,,mu=0.5eV,,mu=1.0eV,,mu=1.5eV,,mu=2.0eV,
X,Y,X,Y,X,Y,X,Y,X,Y
0.0007722007722007485,4.440892098500626e-16,0.019305019305019322,0.004410143329659055,2.7755575615628914e-17,-0.0011025358324137091,0,4.440892098500626e-16,0.02007722007722007,1
0.09961389961389963,0.0022050716648296387,0.09961389961389963,0.02646085997794989,0.05019305019305015,0.12238147739801597,0.050193050193050204,0.6041896361631756,0.10038610038610041,1
0.25019305019305027,0.009922822491731598,0.25019305019305027,0.1003307607497248,0.09961389961389963,0.22822491730981298,0.10038610038610041,0.85226019845645,0.14980694980694984,1.0011025358324146
0.4,0.02976846747519346,0.4,0.257993384785006,0.17451737451737456,0.4090407938257996,0.12972972972972976,0.9702315325248071,0.1752895752895753,1
0.5003861003861004,0.05953693495038648,0.4996138996138997,0.4134509371554578,0.25019305019305027,0.613009922822492,0.14980694980694978,1,0.25019305019305027,1
0.8000000000000002,0.2756339581036388,0.8000000000000002,1,0.4,1,0.1752895752895753,1.0011025358324146,0.4,1
0.9992277992277995,0.5589856670341788,0.9992277992277993,1.0011025358324146,0.49961389961389957,1,0.25019305019305027,1,0.5003861003861004,1
,,0,4.440892098500626e-16,0.8000000000000002,1.0011025358324146,0.3992277992277993,1.0011025358324146,0.7999999999999999,1
,,,,0.9992277992277995,1,0.5003861003861004,1,0.9992277992277995,1
,,,,,,0.8000000000000002,1.0011025358324146,2.7755575615628914e-17,-0.0011025358324137091
,,,,,,0.9992277992277995,1,,
